DEPTH,ROP5,AZIM_CONT_RT,SHK_ISONIC_RT,TQA,SHKTOT_RT,CRPM_RT,ARC_GR_RT,RHOB_DH_ADN_RT,SPM1,DEPT,APRS_RT,SHK_ADN_RT,STAT_ADN_RT,P40L_RT,TRPM_RT,TFLO,ADIA_ADN_RT,RPM,P40H_RT,INCL_CONT_RT,SHKPK_RT,ROP,BITRUN,SPM3,STUCK_RT,STAT_ISONIC_RT,SPPA,SHKRSK_RT,TNPH_ADN_RT,SPM2,ECD_ARC_RT,DRHO_DH_ADN_RT,HKLD,DTCO_RT,PASS_NAME,SWOB,SHK2_RT,DVER,P28H_RT,STWD_RT
217.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
217.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
218.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
218.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
218.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
218.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
218.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
218.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
218.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
219.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
219.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
219.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
219.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
219.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
219.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
220.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
220.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
220.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
220.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
220.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
220.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
220.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
221.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
221.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
221.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
221.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
221.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
221.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
222.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
222.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
222.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
222.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.4482216,,
222.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
222.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.6006216,,
222.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
222.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.7530216,,
222.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
222.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.9054216,,
222.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
223.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0578216,,
223.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
223.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.2102216,,
223.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
223.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.3626216,,
223.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
223.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.5150216,,
223.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
223.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.6674216,,
223.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
223.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.8198216,,
223.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
223.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.9722216,,
224.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
224.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.1246216,,
224.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
224.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.2770216,,
224.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
224.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.4294216,,
224.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
224.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.5818216,,
224.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
224.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7342216,,
