Time,FLOWOUT,RigActivityCode,BLOCKCOMP,TRIPOUTSLIPS,STANDSTOGO,EditFlag,TRIPPULL,TRIPREAMFLAG,PIT_TRIPOUT,TRIPPVT,TRIPCFILL,JOINTSDONE,HKLD,Depth,TRIPRUN,TRIPEXPFILL,STANDSDONE,TRIPINSLIPS,INSLIPS_STATUS,TRIPEXPPVT,TRIPFILL,TRIPCEXPFILL,JOINTSTOGO,TRIPNUM,FLOWOUTPC,PIT_TRIPIN
2016-08-28T10:26:30.000Z,3.0955818E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,149,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:27:00.000Z,3.0947347E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,181,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:27:30.000Z,3.0948529E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,209,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:28:00.000Z,3.0906195E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,241,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:28:30.000Z,3.0947772E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,269,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:29:00.000Z,3.0919294E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,301,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:29:30.000Z,3.0923307E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,329,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:30:00.000Z,3.0937401E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,361,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:30:30.000Z,3.0902887E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,389,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:31:00.000Z,3.0972845E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,421,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:31:30.000Z,3.0958378E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,450,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:32:00.000Z,3.0977654E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,658113.9,1,0,0.005451232,1,482,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:32:30.000Z,3.0940333E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,512,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:33:00.000Z,3.0975392E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,540,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:33:30.000Z,3.0970032E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,572,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:34:00.000Z,3.0985632E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,602,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:34:30.000Z,3.0974366E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,630,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:35:00.000Z,3.0976571E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,662,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:35:30.000Z,3.0963101E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,690,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:36:00.000Z,3.0992801E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,722,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:36:30.000Z,3.0984769E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,750,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:37:00.000Z,3.0946722E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,780,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:37:30.000Z,3.0960476E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,810,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:38:00.000Z,3.0956035E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,842,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:38:30.000Z,3.0944776E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,872,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:39:00.000Z,3.0988813E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,902,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:39:30.000Z,3.0966567E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,930,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:40:00.000Z,3.098684E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,960,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:40:30.000Z,3.0981409E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,992,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:41:00.000Z,3.0947813E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,1022,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:41:30.000Z,3.0930523E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1050,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:42:00.000Z,3.0969843E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1082,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:42:30.000Z,3.0954862E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1112,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:43:00.000Z,3.0972872E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1138,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:43:30.000Z,3.0975614E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1168,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:44:00.000Z,3.09189E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1198,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:44:30.000Z,3.0945798E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1232,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:45:00.000Z,3.0985064E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1262,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:45:30.000Z,3.0958467E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1288,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:46:00.000Z,3.0958664E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1322,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:46:30.000Z,3.0972891E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1352,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:47:00.000Z,3.0971417E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1378,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:47:30.000Z,3.0973784E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1412,0,0.005451232,0,0,38,1,0,4.510181
