Time,EditFlag,H2S4,Depth,TOTGAS2,H2S5,NORMGAS,TOTGAS,TOTGAS6,CO2_2,CO2_3,TOTGAS5,H2S6,RigActivityCode,CO2,TOTGAS3,H2S1,H2S3,H2S2,TOTGAS4,H2S7,H2S8
2016-08-14T15:56:18.000Z,0,3.45215E-08,0,0,1.71717E-07,0,0,0,0,0,0,0,0,0,0,1.81258E-08,-2.1439E-08,4.36991E-08,0,0,0
2016-08-14T15:56:30.000Z,0,3.40402E-08,0,0,1.735E-07,0,0,0,0,0,0,0,0,0,0,1.92372E-08,-1.68421E-08,4.32436E-08,0,0,0
2016-08-14T15:56:45.000Z,0,3.39411E-08,0,0,1.74303E-07,0,0,0,0,0,0,0,0,0,0,1.93332E-08,-1.56667E-08,4.3064E-08,0,0,0
2016-08-14T15:57:00.000Z,0,3.42867E-08,0,0,1.73093E-07,0,0,0,0,0,0,0,0,0,0,1.88563E-08,-1.64636E-08,4.2572E-08,0,0,0
2016-08-14T15:57:15.000Z,0,3.43926E-08,0,0,1.73953E-07,0,0,0,0,0,0,0,4,0,0,1.8854E-08,-1.67343E-08,4.36627E-08,0,0,0
2016-08-14T15:57:30.000Z,0,3.47488E-08,0,0,1.74313E-07,0,0,0,0,0,0,0,4,0,0,1.90844E-08,-1.63806E-08,4.36442E-08,0,0,0
2016-08-14T15:57:45.000Z,0,3.57322E-08,0,0,1.74542E-07,0,0,0,0,0,0,0,4,0,0,1.86111E-08,-1.56638E-08,4.3438E-08,0,0,0
2016-08-14T15:58:00.000Z,0,3.44865E-08,0,0,1.72432E-07,0,0,0,0,0,0,0,4,0,0,1.78012E-08,-1.48827E-08,4.21727E-08,0,0,0
2016-08-14T15:58:15.000Z,0,3.48387E-08,0,0,1.73507E-07,0,0,0,0,0,0,0,4,0,0,1.92546E-08,-1.63031E-08,4.1796E-08,0,0,0
2016-08-14T15:58:30.000Z,0,3.47476E-08,0,0,1.73606E-07,0,0,0,0,0,0,0,4,0,0,1.8462E-08,-1.60792E-08,4.22553E-08,0,0,0
2016-08-14T15:58:45.000Z,0,3.52825E-08,0,0,1.73419E-07,0,0,0,0,0,0,0,4,0,0,1.99962E-08,-1.61271E-08,4.2004E-08,0,0,0
2016-08-14T15:59:00.000Z,0,3.55394E-08,0,0,1.73267E-07,0,0,0,0,0,0,0,4,0,0,1.87988E-08,-1.59173E-08,4.37152E-08,0,0,0
2016-08-14T15:59:15.000Z,0,3.3947E-08,0,0,1.74575E-07,0,0,0,0,0,0,0,4,0,0,1.92912E-08,-1.499E-08,4.4321E-08,0,0,0
2016-08-14T15:59:30.000Z,0,3.43806E-08,0,0,1.73703E-07,0,0,0,0,0,0,0,4,0,0,1.85324E-08,-1.64257E-08,4.34559E-08,0,0,0
2016-08-14T15:59:45.000Z,0,3.44721E-08,0,0,1.74151E-07,0,0,0,0,0,0,0,4,0,0,1.83059E-08,-1.65384E-08,4.3341E-08,0,0,0
