Depth,MWIN,HKLD_AVG,ONBOTTOM_TIME,MWINANN,WOB_MAX,SURF_REVS,WOB_MIN,BIT_RPM_MIN,STRATESUM,TBR,MROUT,FLOWIN,FLOWOUT,BIT_RPM_MAX,TORQUE_AVG,ROT_TIME,MRIN,FLOWOUTPC,PUMP_MAX,MUDRETDEPTH,MOTOR_RPM,TOTGAS_MAX,TORQUE_MAX,TOTGAS_AVG,HKLD_MAX,WOB_AVG,MWOUT,ECDBIT,TORQUE_MIN,MTIN,RigActivityCode,BIT_DIST,EditFlag,PIT_DRILL,MTOUT,PUMP_AVG,HKLD_MIN,BIT_RPM_AVG,PUMP_MIN,BITVELOCITY,Time
784.8,0,654267.8,0,0,239359.92,19.5967,50123.07,0,0,0,0,0,0.061693903,0,1.622292,25776,0,0,334743.87,0,0,0,1.622292,0,665806,239359.92,0,0,1.622292,0,12,3231,0,43.199895,0,328459.24,654267.8,0,326106.42,-0.1129432,2013-10-24T00:07:28.000Z
785.4,0,781189.3,0,0,166283.92,19.5967,-37738.08,0,0,0,0,0,0.061692694,0,1.622292,25776,0,0,336912.64,0,0,0,1.622292,0,781189.3,166283.92,0,0,1.622292,0,12,3231,0,43.201419,0,330845.51,727343.8,0,328469.69,1.4895234,2013-10-24T00:08:14.000Z
786.6,0,761958.7,0,0,227821.72,19.5967,-86202.37,0,0,0,0,0,0.067990726,0,1.622292,25776,0,0,339278,0,0,0,1.622292,0,819650.3,131669.02,0,0,1.622292,0,12,3231,0,43.198082,0,330832.97,665806,0,328480.15,0.24823057,2013-10-24T00:07:56.000Z
788.1,0,758112.6,0,0,135515.12,19.5967,-35892.36,0,0,0,0,0,0.0612117,0,1.622292,25776,0,0,332790.51,0,0,0,1.622292,0,761958.7,135515.12,0,0,1.622292,0,12,3231,0,43.202074,0,332790.51,758112.6,0,330832.97,0.54273743,2013-10-24T00:07:58.000Z
789.3,0,765804.8,0,0,135515.12,19.5967,-35288.14,0,0,0,0,0,0.065161277,0,1.622292,25776,0,0,338863.91,0,0,0,1.622292,0,765804.8,135515.12,0,0,1.622292,0,12,3231,0,43.196696,0,338863.91,758112.6,0,332790.51,0.82445412,2013-10-24T00:08:00.000Z
790.8,0,765804.8,0,0,127822.92,19.5967,-41519.17,0,0,0,0,0,0.06169516,0,1.622292,25776,0,0,338863.91,0,0,0,1.622292,0,765804.8,127822.92,0,0,1.622292,0,12,3231,0,43.201758,0,327365.44,765804.8,0,327365.44,1.0854505,2013-10-24T00:08:02.000Z
792.3,0,765804.8,0,0,127822.92,19.5967,-41519.17,0,0,0,0,0,0.061700405,0,1.622292,25776,0,0,332368.05,0,0,0,1.622292,0,765804.8,127822.92,0,0,1.622292,0,12,3231,0,43.200133,0,332368.05,765804.8,0,327365.44,1.3791673,2013-10-24T00:08:04.000Z
793.8,0,727343.8,0,0,166283.92,19.5967,-38025.8,0,0,0,0,0,0.061921346,0,1.622292,25776,0,0,332368.05,0,0,0,1.622292,0,765804.8,166283.92,0,0,1.622292,0,12,3231,0,43.193797,0,328026.32,727343.8,0,328026.32,1.4097275,2013-10-24T00:08:06.000Z
795.3,0,742728.2,0,0,166283.92,19.5967,-38025.8,0,0,0,0,0,0.062768537,0,1.622292,25776,0,0,330864.34,0,0,0,1.622292,0,742728.2,-36730.88,0,0,1.622292,0,12,3231,0,43.220123,0,330864.34,727343.8,0,328026.32,1.445381,2013-10-24T00:08:08.000Z
796.8,0,727343.8,0,0,150899.52,19.5967,-36730.88,0,0,0,0,0,0.061656144,0,1.622292,25776,0,0,330864.34,0,0,0,1.622292,0,742728.2,150899.52,0,0,1.622292,0,12,3231,0,43.203831,0,328469.69,727343.8,0,328469.69,1.453304,2013-10-24T00:08:10.000Z
2573.7,0,1354259,0,0,31391.57,1870.21,-3223.43,0.82224167,1.1333333,0,0,0.025103333,0.044431411,0.84563983,13360.63,9427,0,0,7034140.7,0,0,0,18233.05,0,1404258,46775.57,0,0,9264.12,0,112,3231,0,51.288692,0,7026724.9,1369643,0.832702,6974922.2,-0.02470649,2013-10-25T16:41:18.000Z
2574.3,0,1354259,0,0,19853.57,1830.54,4468.57,0.82196633,1.1333333,0,0,0.025103333,0.044431411,0.85224633,13360.63,9379,0,0,7038602.2,0,0,0,16694.8,0,1396566,46775.57,0,0,9264.12,0,112,3231,0,51.288692,0,7026724.9,1381181,0.832702,6988599,-0.02470649,2013-10-25T16:40:30.000Z
2574.9,0,1354259,0,0,27545.57,1792.05,-26300.43,0.83187617,1.1333333,0,0,0.025103333,0.044431411,0.85362283,13360.63,9333,0,0,7021832.2,0,0,0,16924.19,0,1427335,46775.57,0,0,9223.142,0,112,3231,0,51.288692,0,7026724.9,1373489,0.832702,6961038.1,-0.033300052,2013-10-25T16:39:44.000Z
2575.5,0,1354259,0,0,19853.57,1763.67,-7069.43,0.832702,1.1333333,0,0,0.025103333,0.044431411,0.832702,13360.63,9299,0,0,6982613.8,0,0,0,15951.02,0,1408104,46775.57,0,0,10874.45,0,112,3231,0,51.288692,0,7026724.9,1381181,0.832702,6930037.8,-0.088084008,2013-10-25T16:39:10.000Z
2576.1,0,1354259,0,0,4971.054,1753.68,-7069.43,0.832702,1.1333333,0,0,0.025103333,0.044431411,0.832702,13360.63,9287,0,0,6974940.9,0,0,0,16028.73,0,1408104,46775.57,0,0,12488.14,0,112,3231,0,51.288692,0,7026724.9,1400412,0.832702,6926708.3,-0.099900155,2013-10-25T16:38:58.000Z
2576.7,0,1354259,0,0,12160.57,1743.68,-14762.43,0.832702,1.1333333,0,0,0.025103333,0.044431411,0.832702,13360.63,9275,0,0,6982286.2,0,0,0,16028.73,0,1415797,46775.57,0,0,11096.28,0,112,3231,0,51.288692,0,7026724.9,1388874,0.832702,6934343.8,-0.099900155,2013-10-25T16:38:46.000Z
2577.3,0,1354259,0,0,50621.57,1732.03,8814.218,0.832702,1.1333333,0,0,0.025103333,0.044431411,0.832702,13360.63,9263,0,0,7057501.3,0,0,0,17679.07,0,1415797,46775.57,0,0,9884.957,0,112,3231,0,51.288692,0,7026724.9,1350413,0.832702,6940857.8,-0.094529179,2013-10-25T16:38:34.000Z
